pregame_total,inning,favorite_strength_bucket,mean_favorite_novig_prob,n,under_pct,top_zero_pct,bottom_zero_pct,independence_p0_pct,joint_zero_dependence_pp,top_bottom_scoring_phi,mean_runs,multi_run_given_score_pct,threeplus_given_score_pct,season_under_sd_pp
8.0,4,50-55%,0.5227995417342518,792,56.186868686868685,73.10606060606061,75.37878787878788,55.10646235078054,1.0804063360881466,0.0565592876262268,0.9204545454545454,53.02593659942363,28.818443804034583,2.5637080555648737
8.0,4,55-60%,0.572632248584316,694,53.602305475504316,74.49567723342939,72.3342939481268,53.88592214867659,-0.2836166731722711,-0.014545086946849152,0.9711815561959655,53.105590062111794,30.124223602484474,4.557549677107034
8.0,4,60-65%,0.6233307875910687,401,51.6209476309227,72.06982543640898,70.82294264339151,51.041971132020315,0.5789764989023838,0.028388317079073473,1.084788029925187,54.123711340206185,35.56701030927835,5.593921368789764
8.0,4,65-70%,0.6716239238671528,186,54.83870967741935,76.34408602150538,71.50537634408603,54.59012602613019,0.24858365128915816,0.012958782046169928,0.7956989247311828,45.23809523809524,20.238095238095237,8.573262152098046
8.5,4,50-55%,0.5224312538673268,1052,51.615969581749056,71.95817490494296,72.52851711026615,52.1901971981668,-0.574227616417744,-0.028638180155546186,0.973384030418251,50.09823182711198,28.68369351669941,2.807305663191827
8.5,4,55-60%,0.574447599467658,915,52.459016393442624,73.77049180327869,71.14754098360656,52.48589088954583,-0.026874496103201917,-0.0013484428757888293,0.9978142076502732,56.09195402298851,28.045977011494255,5.382049048107375
8.5,4,60-65%,0.6230576499017262,541,52.495378927911275,72.64325323475046,72.82809611829944,52.90469828926374,-0.40931936135246705,-0.02064062800609775,1.0351201478743068,54.474708171206224,31.1284046692607,4.25264904186684
8.5,4,65-70%,0.6705670558488015,259,55.98455598455598,78.37837837837837,67.95366795366795,53.26098299071271,2.7235729938432707,0.14177548276655977,0.9845559845559846,57.01754385964912,31.57894736842105,12.476888491943054
9.0,4,50-55%,0.5224164428949932,665,49.17293233082707,72.03007518796993,70.67669172932331,50.9084741930013,-1.735541862174228,-0.08493524046578788,1.0751879699248121,57.98816568047337,28.402366863905325,4.282412819752397
9.0,4,55-60%,0.57272498458952,583,49.056603773584904,70.15437392795883,69.81132075471697,48.97569500631088,0.08090876727402385,0.0038516150690126433,1.0943396226415094,57.57575757575758,30.303030303030305,3.0731251655856267
9.0,4,60-65%,0.6225784305894491,353,49.008498583569406,71.10481586402267,69.68838526912181,49.55179802421976,-0.5432994406503522,-0.026079080785674953,1.0906515580736544,51.11111111111111,25.555555555555554,2.282786594477143
9.0,4,65-70%,0.6701180590294172,182,50.54945054945055,75.82417582417582,65.38461538461539,49.57734573119188,0.9721048182586622,0.047725032721486885,0.9945054945054945,56.666666666666664,23.333333333333332,9.419442267225149
9.5,4,50-55%,0.5229071572822487,330,46.36363636363636,65.45454545454545,71.51515151515152,46.80991735537191,-0.4462809917355426,-0.02079395212477524,1.121212121212121,54.23728813559322,31.07344632768362,3.8317205999188886
9.5,4,55-60%,0.5734233781382506,284,47.183098591549296,67.25352112676056,67.95774647887323,45.703977385439394,1.4791212061099013,0.06754340260311727,1.2077464788732395,63.33333333333333,37.333333333333336,6.24285308313753
9.5,4,60-65%,0.6233701622375828,168,49.404761904761905,71.42857142857143,68.45238095238095,48.894557823129254,0.5102040816326536,0.024303252296561505,1.1547619047619047,62.35294117647059,31.76470588235294,9.442335143903831
7.0,5,50-55%,0.5221921261378533,220,61.81818181818181,77.27272727272727,78.63636363636364,60.764462809917354,1.0537190082644643,0.06134635065474197,0.7227272727272728,46.42857142857143,23.809523809523807,8.402143758937608
7.0,5,55-60%,0.5738164094215192,221,57.01357466063348,72.39819004524887,77.37556561085974,56.018509039536454,0.9950656210970243,0.053202042167269294,0.8823529411764706,55.78947368421052,26.31578947368421,10.765335681312093
7.0,5,60-65%,0.6245331784667764,127,44.09448818897638,68.50393700787401,67.71653543307087,46.38849277698556,-2.2940045880091797,-0.10562602785031569,1.236220472440945,63.38028169014085,28.169014084507044,4.760238209093353
7.5,5,50-55%,0.5230866177842145,545,54.12844036697248,70.8256880733945,74.6788990825688,52.89184412086525,1.2365962461072244,0.06255931230812016,1.0844036697247705,61.6,34.4,5.745443328679977
7.5,5,55-60%,0.5741877077848376,512,56.8359375,78.125,72.65625,56.7626953125,0.0732421875,0.003974904820801443,0.83984375,47.05882352941176,25.339366515837103,9.61246808566023
7.5,5,60-65%,0.6223500169966041,312,55.12820512820513,76.28205128205127,72.75641025641025,55.50008218277448,-0.3718770545693473,-0.019637302974072207,0.9871794871794872,63.57142857142857,30.714285714285715,5.95016271848063
7.5,5,65-70%,0.6716788657374662,182,63.18681318681318,81.31868131868131,75.82417582417582,61.65921990097814,1.5275932858350494,0.091540718986932,0.8241758241758241,53.73134328358209,29.850746268656714,3.2531474130584965
